Year,State,id,code,Area,Area Population,State Population,Violent Crime,Murder,Rape,Robbery,Aggravated Assault,Property Crime,Burglary,Larceny-theft,Motor Vehicle Theft,Total Crimes
2017,Alabama,1,AL,MSA,3732789,4874747,20585,340,1548,3738,14959,116031,24809,80666,10556,252647
2017,Alabama,1,AL,OMA,518602,4874747,3715,40,277,385,3013,20642,4169,15000,1473,44999
2017,Alabama,1,AL,NMC,623356,4874747,1251,24,203,94,930,7487,2499,4176,812,16225
2017,Alaska,2,AK,MSA,348650,739795,3859,38,418,830,2573,18698,2453,12750,3495,41255
2017,Alaska,2,AK,OMA,127272,739795,1064,6,218,83,757,4197,653,3262,282,9458
2017,Alaska,2,AK,NMC,263873,739795,1210,18,227,38,927,3309,1065,1763,481,7828
2017,Arizona,4,AZ,MSA,6665732,7016270,30412,376,3310,7316,19410,195650,35305,142278,18067,421712
2017,Arizona,4,AZ,OMA,125031,7016270,4790,35,261,92,4402,6958,1640,4559,759,18706
2017,Arizona,4,AZ,NMC,225507,7016270,442,5,10,32,395,1907,682,993,232,4256
2017,Arkansas,5,AR,MSA,1870966,3004279,11939,171,1258,1617,8893,64898,14566,44946,5386,141735
2017,Arkansas,5,AR,OMA,515402,3004279,2846,51,446,279,2070,18442,4726,12772,944,39730
2017,Arkansas,5,AR,NMC,617911,3004279,1886,36,349,39,1462,9149,2570,5656,923,20184
2017,California,6,CA,MSA,38706996,39536653,173659,1778,14254,56135,101492,969133,171737,631828,165568,2111925
2017,California,6,CA,OMA,263117,39536653,1641,13,182,296,1150,9240,1950,6070,1220,20121
2017,California,6,CA,NMC,566540,39536653,2327,39,285,191,1812,8741,3003,4135,1603,19809
2017,Colorado,8,CO,MSA,4904129,5607154,19326,209,3533,3743,11841,138023,20421,96613,20989,295372
2017,Colorado,8,CO,OMA,339363,5607154,829,5,209,80,535,10024,1443,8043,538,20877
2017,Colorado,8,CO,NMC,363662,5607154,483,7,116,15,345,3436,949,2153,334,7355
2017,Connecticut,9,CT,MSA,2967056,3588184,7739,95,732,2745,4167,59420,8014,44567,6839,126579
2017,Connecticut,9,CT,OMA,112933,3588184,125,1,24,22,78,1532,206,1215,111,3189
2017,Connecticut,9,CT,NMC,508195,3588184,316,6,81,46,183,2557,670,1528,359,5430
2017,Delaware,10,DE,MSA,961939,961939,4361,54,334,1082,2891,23476,3970,18137,1369,51313
2017,Delaware,10,DE,OMA,0,961939,0,0,0,0,0,0,0,0,0,0
2017,Delaware,10,DE,NMC,0,961939,0,0,0,0,0,1,0,1,0,2
2017,District of Columbia,11,DC,MSA,693972,693972,6974,116,444,2623,3791,29729,1809,25333,2587,66432
2017,District of Columbia,11,DC,OMA,0,693972,0,0,0,0,0,0,0,0,0,0
2017,District of Columbia,11,DC,NMC,0,693972,0,0,0,0,0,0,0,0,0,0
2017,Florida,12,FL,MSA,20272180,20984400,82182,1013,7678,18329,55162,512696,84730,385916,42050,1107574
2017,Florida,12,FL,OMA,148666,20984400,940,13,42,133,752,5002,1108,3601,293,10944
2017,Florida,12,FL,NMC,563554,20984400,2503,31,220,135,2117,9522,3015,5936,571,21547
2017,Georgia,13,GA,MSA,8648476,10429379,31963,617,2294,9194,19858,253813,45376,184272,24165,539589
2017,Georgia,13,GA,OMA,644485,10429379,2843,48,208,680,1907,25928,4979,20017,932,54699
